p_positive,p_negative,p_neutral,sentiment,n_chunks,ticker,sector,form,filing_date,n_words,doc_hash
0.9999988079071044,6.175482099024521e-07,6.371355425471847e-07,0.9999982118606568,12,VZ,Communication Svcs,10-K,unknown,15000,81beb77bec988d1e14b117c4013f3f37
0.879758894443512,0.1189833804965019,0.0012577163288369,0.7607755064964294,12,VZ,Communication Svcs,10-K,unknown,15000,4c19ca491c3fa1b84bb142057279e391
0.9999985098838806,8.763695404923055e-07,6.864576675980061e-07,0.999997615814209,12,VZ,Communication Svcs,10-K,unknown,15000,7a6d9b019aa2fb1f2f63ef3d94ce9305
0.999999225139618,3.322350323742285e-07,3.91425032830739e-07,0.9999988675117492,12,VZ,Communication Svcs,10-K,unknown,15000,ba108beeb732d14e9222013ce43b6446
0.9999990463256836,4.418177184106753e-07,5.54715086309443e-07,0.9999986290931702,12,VZ,Communication Svcs,10-K,unknown,15000,5e4e5ad8afd79a7cdbb2e203ad1a1f8d
0.9999987483024596,6.406624493138224e-07,5.591883223132754e-07,0.9999980926513672,12,VZ,Communication Svcs,10-K,unknown,15000,e41f9ca9b188822e8418767a4810ea92
0.999999225139618,4.893167329100834e-07,3.7368963035078195e-07,0.9999987483024596,12,VZ,Communication Svcs,10-Q,unknown,15000,6b6b4148bc5946da6b87b86c0fcec35e
0.9999992847442628,4.656807277569897e-07,2.6218671678179817e-07,0.9999988079071044,12,VZ,Communication Svcs,10-Q,unknown,15000,58d230a736292d6c348693a6851e74c7
0.9999988675117492,5.272056000649172e-07,5.279866286400647e-07,0.9999983310699464,12,VZ,Communication Svcs,10-Q,unknown,15000,e4a34c02264ccbf571c1eb0b9c7fd88f
0.9999991059303284,4.4490056438917236e-07,4.218430547098251e-07,0.9999986886978148,12,VZ,Communication Svcs,10-Q,unknown,15000,4f954b579c5f49e675e9b22a63c89629
0.999999225139618,3.554143575001945e-07,4.761695038268954e-07,0.9999988675117492,12,VZ,Communication Svcs,10-Q,unknown,15000,c5ed6c76e72c2aff1921ac5ad468d865
0.9999993443489076,3.253712463902048e-07,3.399617014565593e-07,0.9999990463256836,12,VZ,Communication Svcs,10-Q,unknown,15000,9dcd56dcd2d7ab45e292fc5307af06c3
