p_neutral,p_positive,p_negative,sentiment,n_chunks,ticker,sector,form,filing_date,n_words,doc_hash
0.999993622303009,4.585934675560566e-06,1.8074221088681952e-06,2.778512680379208e-06,3,AAPL,Information Tech.,10-K,2019-10-31,8000,73c88862dba5339edb0ab9c2451d1553
0.9999933242797852,4.571161298372317e-06,2.0018931081722258e-06,2.5692681902000913e-06,3,AAPL,Information Tech.,10-K,2020-10-30,8000,a8ecb4c02f2565f02a06de73f0686a52
0.999993622303009,4.296360657463083e-06,2.0817049062316073e-06,2.2146557512314757e-06,3,AAPL,Information Tech.,10-K,2021-10-29,8000,2557a5efb46760a7c8950771fc6e7feb
0.9999902844429016,7.0918708843237255e-06,2.63068773165287e-06,4.461183380044531e-06,3,AAPL,Information Tech.,10-K,2022-10-28,8000,df7dfe93c1f9096a668db02043afd6f9
0.999995231628418,2.991375367855653e-06,1.7393734879078693e-06,1.2520018799477839e-06,3,AAPL,Information Tech.,10-K,2023-11-03,8000,2a5191e14758294065fdfbc219b21d39
0.9999955296516418,2.939154001069255e-06,1.5369613493021461e-06,1.402192651767109e-06,3,AAPL,Information Tech.,10-K,2024-11-01,8000,af7de843d6ca952c7036335f7c27537d
0.999976634979248,1.9855111531796865e-05,3.58384909304732e-06,1.627126221137587e-05,3,AAPL,Information Tech.,10-Q,2019-01-30,8000,050237721b07313cc5c607d59b29e8a7
0.9999923706054688,5.337262791726971e-06,2.2964488834986696e-06,3.0408139082283014e-06,3,AAPL,Information Tech.,10-Q,2019-05-01,8000,263d47f54eaee9124f184da2b173ced6
0.9999918937683105,5.481331299961312e-06,2.6737973257695558e-06,2.807533974191756e-06,3,AAPL,Information Tech.,10-Q,2019-07-31,8000,70c91de49b384be663604e15891c9cbc
0.9999933838844299,4.511326551437378e-06,2.036958676399081e-06,2.474367875038297e-06,3,AAPL,Information Tech.,10-Q,2020-01-29,8000,2aacd49888d713ce437b821f3788dd88
0.9999921917915344,5.511337803909555e-06,2.3132688511395827e-06,3.1980689527699724e-06,3,AAPL,Information Tech.,10-Q,2020-05-01,8000,f33c13f94e5813642c8a65cce44ee337
0.999992847442627,5.286980012897402e-06,1.9292288016004022e-06,3.357751211297e-06,3,AAPL,Information Tech.,10-Q,2020-07-31,8000,f0fec017768151a061be9063f219680f
0.9999938011169434,4.534309937298531e-06,1.6946904679571162e-06,2.839619355654577e-06,3,AAPL,Information Tech.,10-Q,2021-01-28,8000,1f52f85cc8cb1bc78b55be6e806aa793
0.9999926686286926,5.129803412273759e-06,2.235001602457487e-06,2.894801809816272e-06,3,AAPL,Information Tech.,10-Q,2021-04-29,8000,86e277953f005ae5fbd43ac20451eb28
0.9999914765357971,5.750967829953879e-06,2.7464757295092568e-06,3.0044921004446223e-06,3,AAPL,Information Tech.,10-Q,2021-07-28,8000,e6f3f69ed1d1ebdf86879f6ad9419b6b
0.9999964833259583,2.14325746128452e-06,1.3933808986621443e-06,7.498765626223758e-07,3,AAPL,Information Tech.,10-Q,2022-01-28,6991,674af68731cc52eea33145146b6203f9
0.9999948143959045,3.609419536587666e-06,1.529820451651176e-06,2.0795991986233275e-06,3,AAPL,Information Tech.,10-Q,2022-04-29,7561,a7df1e6c69bdb9a5e5b5728a6ed04228
0.9999945759773254,3.998797183157876e-06,1.4494307833956555e-06,2.5493663997622207e-06,3,AAPL,Information Tech.,10-Q,2022-07-29,7365,6bd8d9732ffa2c2c77c1ab14863efaa6
0.9999945163726807,3.7593188153550727e-06,1.6921759424803895e-06,2.0671427591878455e-06,3,AAPL,Information Tech.,10-Q,2023-02-03,6934,1f80aae64157c637375d051302b08cb9
